Text,Text_English,Klasifikasi_NLP,Klasifikasi_NaiveBayes
dulu barat upn warung kayuh bambai bumbu habangnya sungguh banjar banar semenjak tahun covid mereka tutup padahal warung sangat mengobati kerinduan sama masakan banjar nasi kuning soto banjarnya juara sekali,"in the past, the western upn stall, the cauliflower bambai spice habang, was really banjar banar since the year of covid they closed, even though the shop really treats homesickness with banjar dishes, nasi kuning, soto banjar, the champion onc",Positif,Positif
segala sakit disalahin vaksin covid lieur,all illnesses are blamed for the covid lieur vaccin,Netral,Netral
bukankah kamu dulu bagian rezim setelah terdepak sakit hati rezekinya hilang sok kritis dulu mengkritisi vaksin covid divaksin pamer medsos ucapanmu tidak konsisten bro semua sakit hati atas hilangnya rezeki,"didn't you used to be part of the regime, after being kicked out, hurt, your fortune was gone, pretending to be critical, used to criticize the covid vaccine, being vaccinated, showing off your social media, your words are inconsistent, bro, everyone is hurt over the loss of fortun",Positif,Positif
saya kan ganti lama dulu covid menyerang sudah  lama beda tahun beda hrga mas,"i changed it a long time ago, when covid attacked, it's been a long time, different years, different prices, bro",Negatif,Negatif
terus  masku kena covid kek sudah  endemi masi ae,then my mask got covid kek it's already endemic still a,Netral,Netral
covid-19 subvarian xbb dilaporkan telah masuk bali jakarta sejumlah wilayah indonesia kabar kemenkes lega,"covid-1' subvariant xbb is reported to have entered bali, jakarta, a number of indonesian regions, the news is that the ministry of health is reliev",Netral,Netral
covid-19 subvarian xbb masuk bali kabar kemenkes bikinlega,"covid-1' subvariant xbb has entered bali, the news is that the ministry of health is making it easi",Netral,Netral
pemerintah kerajaan arab saudi menyatakan masih mewajibkan vaksinasi meningitis jamaah umrah indonesia pergi tanah suci pencabutan persyaratan kesehatan jamaah umrah hanya berlaku vaksinasi covid-19,the government of the kingdom of saudi arabia stated that it still requires meningitis vaccination for indonesian umrah pilgrims going to the holy land.,Netral,Netral
sakit tekak level covid ritu tak sakit mcmni,covid level sore throat doesn't hurt like thi,Netral,Netral
menteri kesehatan ri meminta masyarakat mewaspadai penularan covid-19 awal tahun masuknya virus omicron varian xbb indonesia beberapa waktu lalu indonesia masih menjadi salah satu negara jumlah kasus covid-19 tertinggi dunia,"the minister of health of the republic of indonesia asked the public to be aware of the transmission of covid-1' at the beginning of the year, the entry of the omicron virus variant of the indonesian xbb some time ago, indonesia is still one of the countries with the highest number of cases of covid-1' in the world",Positif,Positif
kementerian kesehatan ri meminta masyarakat mewaspadai melonjaknya kasus baru covid-19 awal tahun setelah masuknya virus omicron varian xbb indonesia beberapa hari lalu dki jakarta masih menjadi tertinggi jumlah kasus baru covid-19,"ri's ministry of health asked the public to be aware of the soaring new cases of covid-1' at the beginning of the year after the entry of the omicron virus, the indonesian xbb variant, a few days ago dki jakarta still has the highest number of new cases of covid-1'",Positif,Positif
malaysia mendapatkan vaksin bivalen pfizer dikemas kini - malaysia menerima bentuk terkini vaksin covid-19 dikeluarkan pfizer-bionte,malaysia receives pfizer bivalent vaccine updated - malaysia receives latest form of covid-1' vaccine released pfizer-biont,Positif,Netral
kemenkes minta waspadai penularan covid - awal tahun,the ministry of health asked to be aware of the transmission of covid - early in the year,Positif,Positif
covid baya remember,covid baya rememb,Netral,Netral
saya kena covid tempat kerja paksa saya dapatkan mc takda mc saya dikira ul tolak gaji saya sudah  gambar test kit saya sudah  screenshot update my sejahtera tulis saya ini  positive kena quarantine hari,"i have covid at the forced workplace, i get mc, there is no mc, i am counted as ul, deduct my salary, i already have a picture of my test kit, i have a screenshot of my update, sejahtera, write that i am positive, i have to be quarantined today",Negatif,Negatif
buat swab test dulu  qib bhya skarang nie dmam sakit  je pn taw2 da kne covid,buat swab test dulu qib bhya skarang nie dmam sakit je pn taw2 da kne covid,Netral,Netral
tapi  benar  anjir sejak habis covid rasanya jantungku seperti  sering deg-degan deket kamu,"but it's true that since the end of covid, it feels like my heart is often beating close to y",Positif,Positif
tidak  usah covid ding flu biasa saja  sekarang gahar benar  gejalanya,"no need for covid ding, just the usual flu now, you don't really have the symptom",Negatif,Negatif
sekarang takutnya bukan cuma covid saja  stampede,"now i'm afraid it's not just covid, it's stamped",Negatif,Negatif
niru kebijakan pandemi covid kemarin  direalisasikan satu bulan terakhir menjabat,imitating yesterday's covid pandemic policy realized in the last month in offic,Netral,Netral
covid darjat,covid darjat,Netral,Netral
pns wafat kena covid terus  mereka rekrut pegawai baru auto pengangguran berkurang,"civil servants die from covid and they recruit new employees, unemployment automatically decreas",Positif,Positif
kalau  meriang/batuk2 mending langsung tes covid deh saya  sudah  booster saja  masih kena sakit sangat ,"if you have a fever/cough, it's better to take the covid test right away, i've already had a booster, it's still very sick",Negatif,Negatif
igt demam biasa tiber covid pulak,it's like a normal fever with covid,Positif,Netral
beberapa faktor gangguan pembekuan darah dipikirkan banyak ahli soal keterkaitan riwayat infeksi contohnya covid-19,"several factors for blood clotting disorders are considered by many experts regarding the relationship between a history of infection, for example covid-1'",Positif,Positif
fitphonelive jam bersama dokter gigi  jusuf ph dhanya,fitphonelive jam with dentist jusuf ph dhanya,Netral,Netral
virus covid-19 masih berada sekeliling kita pakai pelitup muka walaupun tidak diwajibkan,the covid-1' virus is still around us wearing face masks even though it is not mandatori,Netral,Netral
tragedi itaewonpuan euforia kerumuman massa pasca-covid harus perhatian,itaewonpuan tragedy the euphoria of the post-covid mass crowd must pay attent,Netral,Netral
harga minyak merosot akhir perdagangan senin selasa pagi wib 1/11/2022 tengah ekspektasi produksi as dapat naik pembatasan covid-19 meluas tiongkok,oil prices slumped late monday tuesday morning 11/11/2022 wib amid expectations us production could rise covid-1' restrictions extend to china,Negatif,Netral
good morning semua kepada kena covid speedy recovery and get well soon,"good morning everyone to those affected by covid, speedy recovery and get well soon",Positif,Positif
walaupun kita fasa peralihan endemik amalkan langkah-langkah pencegahan elakkan penularan covid-19,"even though we are in the endemic transition phase, practice preventive measures to avoid the spread of covid-1'",Netral,Netral
jangan teledor covid-19 masih varian xbb miliki ciri khas bergejala ringan cepat menyebar,"don't be careless about covid-1', but the xbb variant has the characteristics of mild symptoms that spread quickli",Negatif,Positif
aduh covid omicron xbb pulakkk,"ouch, covid omicron xbb",Netral,Netral
intinya manusia harus sehat sehat terkena covidtakan parah saya pernah terkena covid sakit seminggu alhamdulillah sehat lagi  tanpa berobat rs istri anak saya katularan mereka sakit selama hari sembuh anda brdsarkan ilmu kami brdsarkan pngalman,"the point is that humans must be healthy, healthy, affected by severe covid-1'. i have been affected by covid-1'.",Positif,Positif
monggo kagem masyarakat belum vaksinasi covid-19 dosis booster syarat keterangan lengkap info grafis sobat humas polrestasleman,"please be amazed that the community has not been vaccinated against covid-1' booster doses. requirements for complete information, graphic info, friends of public relations polrestasleman",Positif,Positif
kayaknya  saya  covid,i think i have covid,Netral,Netral
lamalama dari  umum sama  sp jakarta  harus mentalnya atas baja deh habis cecar masyarakat terus  kemarin  soal covid soal obat tercemar huaaa sad,"long ago from the general public and sp jakarta, you have to be mentally on steel, after all, the public has been splattered yesterday with the matter of covid, about contaminated medicine, huaaa sad",Negatif,Positif
haish tiba-tiba badan dedar hope jangan covid,"haish suddenly the body is shaking, hope it's not covid",Netral,Netral
