index,Tanggal,Username,Text,Text_Clean_Sambung,text_english
0,2022-10-31 23:59:58+00:00,lordkuyang,dulu di barat upn ada warung kayuh bambai bumbu habangnya sungguh banjar banar semenjak tahun ke covid mereka tutup padahal itu warung yang sangat mengobati kerinduan sama masakan banjar nasi kuning dan soto banjarnya juara sekali,dulu barat upn warung kayuh bambai bumbu habangnya sungguh banjar banar semenjak tahun covid mereka tutup padahal warung sangat mengobati kerinduan sama masakan banjar nasi kuning soto banjarnya juara sekali,"In the past, the western UPN stall, the cauliflower bambai spice habang, was really banjar banar since the year of covid they closed, even though the shop really treats homesickness with banjar dishes, nasi kuning, soto banjar, the champion once"
1,2022-10-31 23:58:49+00:00,s_h_y_l_l_a,segala sakit yg disalahin vaksin covid lieur,segala sakit disalahin vaksin covid lieur,all illnesses are blamed for the covid lieur vaccine
2,2022-10-31 23:58:14+00:00,kunsh72,bukankah kamu dulu bagian rezim namun setelah terdepak dan sakit hati karena rezekinya hilang maka jadi sok kritis dulu mengkritisi vaksin covid namun saat divaksin pamer di medsos ucapanmu tidak konsisten bro semua karena sakit hati atas hilangnya rezeki,bukankah kamu dulu bagian rezim setelah terdepak sakit hati rezekinya hilang sok kritis dulu mengkritisi vaksin covid divaksin pamer medsos ucapanmu tidak konsisten bro semua sakit hati atas hilangnya rezeki,"Didn&#39;t you used to be part of the regime after being kicked out hurt, your sustenance was gone, pretending to be critical, used to criticize the Covid vaccine, being vaccinated, showing off your social media, your words are inconsistent, bro, everyone is hurt over the loss of fortune"
3,2022-10-31 23:57:58+00:00,erni076,aku kan ganti lama dulu sebelum covid menyerang sdh lama beda tahun beda hrga mas,saya kan ganti lama dulu covid menyerang sudah  lama beda tahun beda hrga mas,"I changed it a long time ago, when Covid attacked, it&#39;s been a long time, different years, different prices, bro"
4,2022-10-31 23:57:38+00:00,KENTUSIAS,trus masku kena covid lagi kek yah udah endemi masi ae,terus  masku kena covid kek sudah  endemi masi ae,then my mask got covid kek it&#39;s already endemic still ae
5,2022-10-31 23:55:03+00:00,jpnncom,covid-19 subvarian xbb dilaporkan telah masuk ke bali jakarta dan sejumlah wilayah lain di indonesia tetapi kabar dari kemenkes bikin lega,covid-19 subvarian xbb dilaporkan telah masuk bali jakarta sejumlah wilayah indonesia kabar kemenkes lega,"Covid-19 subvariant XBB is reported to have entered Bali, Jakarta, a number of Indonesian regions, the news is that the Ministry of Health is relieved"
6,2022-10-31 23:53:17+00:00,Zyanpatra,covid-19 subvarian xbb masuk bali kabar dari kemenkes bikinlega,covid-19 subvarian xbb masuk bali kabar kemenkes bikinlega,"Covid-19 subvariant XBB has entered Bali, the news is that the Ministry of Health is making it easy"
7,2022-10-31 23:52:42+00:00,republikaonline,pemerintah kerajaan arab saudi menyatakan masih mewajibkan vaksinasi meningitis bagi jamaah umrah indonesia yang akan pergi ke tanah suci pencabutan persyaratan kesehatan bagi jamaah umrah hanya berlaku bagi vaksinasi covid-19,pemerintah kerajaan arab saudi menyatakan masih mewajibkan vaksinasi meningitis jamaah umrah indonesia pergi tanah suci pencabutan persyaratan kesehatan jamaah umrah hanya berlaku vaksinasi covid-19,The government of the Kingdom of Saudi Arabia stated that it still requires meningitis vaccination for Indonesian Umrah pilgrims going to the Holy Land.
8,2022-10-31 23:52:20+00:00,a_dlinaa,sakit tekak level covid ritu pun tak sakit mcmni,sakit tekak level covid ritu tak sakit mcmni,covid level sore throat doesn&#39;t hurt like this
9,2022-10-31 23:51:57+00:00,AlbertSolo2,menteri kesehatan ri meminta masyarakat untuk mewaspadai penularan covid-19 pada awal tahun  apalagi dengan masuknya virus omicron varian xbb di indonesia beberapa waktu lalu indonesia masih menjadi salah satu negara dengan jumlah kasus covid-19 tertinggi di dunia,menteri kesehatan ri meminta masyarakat mewaspadai penularan covid-19 awal tahun masuknya virus omicron varian xbb indonesia beberapa waktu lalu indonesia masih menjadi salah satu negara jumlah kasus covid-19 tertinggi dunia,"The Minister of Health of the Republic of Indonesia asked the public to be aware of the transmission of Covid-19 at the beginning of the year, the entry of the Omicron virus variant of the Indonesian XBB some time ago, Indonesia is still one of the countries with the highest number of cases of Covid-19 in the world"
