Tanggal,Username,Text
2022-10-31 23:59:58+00:00,lordkuyang,@riderkulineran Dulu di barat upn ada warung kayuh bambai. Bumbu habangnya sungguh banjar banar. Semenjak tahun ke 2 covid mereka tutup. Padahal itu warung yang sangat mengobati kerinduan sama masakan banjar. Nasi kuning dan soto banjarnya juara sekali 🥺
2022-10-31 23:58:49+00:00,s_h_y_l_l_a,Segala sakit yg disalahin vaksin covid. Lieur.
2022-10-31 23:58:14+00:00,kunsh72,"@msaid_didu Bukankah kamu dulu bagian rezim?, namun setelah terdepak dan sakit hati karena rezekinya hilang maka jadi sok kritis? dulu mengkritisi vaksin Covid, namun saat divaksin pamer di medsos. Ucapanmu tidak konsisten Bro...semua karena sakit hati atas hilangnya rezeki."
2022-10-31 23:57:58+00:00,erni076,"@Buggiyx @sbyfess ""aku kan ganti lama dulu. Sebelum covid menyerang. Sdh lama. Beda tahun y beda hrga mas"""
2022-10-31 23:57:38+00:00,KENTUSIAS,trus masku kena covid lagi kek yah udah endemi masi ae
2022-10-31 23:55:03+00:00,jpnncom,"Covid-19 Subvarian XBB dilaporkan telah masuk ke Bali, Jakarta dan sejumlah wilayah lain di Indonesia, tetapi kabar dari Kemenkes bikin lega #Covid-19 https://t.co/5dwqVvigby"
2022-10-31 23:53:17+00:00,Zyanpatra,"Covid-19 Subvarian XBB Masuk Bali, Kabar dari Kemenkes Bikin Lega https://t.co/yJPX1U4PSt"
2022-10-31 23:52:42+00:00,republikaonline,"Pemerintah Kerajaan Arab Saudi menyatakan masih mewajibkan vaksinasi meningitis bagi jamaah umrah Indonesia yang akan pergi ke Tanah Suci. Pencabutan persyaratan kesehatan bagi jamaah umrah hanya berlaku bagi vaksinasi Covid-19.

#Republika #koranrepublika #umrah #vaksin https://t.co/wNP5HR4zn5"
2022-10-31 23:52:20+00:00,a_dlinaa,Sakit tekak level 999999. Covid ritu pun tak sakit mcmni 🙃
2022-10-31 23:51:57+00:00,AlbertSolo2,"Menteri kesehatan RI meminta masyarakat untuk mewaspadai penularan Covid-19 pada awal tahun 2023, apalagi dengan masuknya virus omicron varian XBB di Indonesia, beberapa waktu lalu.indonesia masih menjadi salah satu negara dengan jumlah kasus Covid-19 tertinggi di dunia."
2022-10-31 23:50:03+00:00,AlbertSolo2,"Kementerian kesehatan RI meminta masyarakat untuk mewaspadai melonjaknya kasus baru Covid-19 di awal tahun 2023, apalagi setelah masuknya virus omicron varian XBB di Indonesia, beberapa hari lalu.DKI Jakarta masih menjadi yang tertinggi dalam jumlah kasus baru Covid-19."
2022-10-31 23:49:11+00:00,BeritakiniB,"Malaysia untuk mendapatkan vaksin bivalen Pfizer yang dikemas kini - https://t.co/TNiBFWjXrG
PUTRAJAYA: Malaysia akan menerima bentuk terkini vaksin Covid-19 yang dikeluarkan oleh Pfizer-BioNTe"
2022-10-31 23:47:51+00:00,AlbertSolo2,Kemenkes minta Waspadai Penularan Covid - 19 di Awal Tahun 2023   @kontanNews https://t.co/SlKEBnuagO
2022-10-31 23:46:53+00:00,Wilhelm_001,@nicoquejano Covid baya remember?
